BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,Label
255.0,0.0,18.30956,208.46255,152.20735,114.00378,234.12842,88.81782,157.184,189.99142,96.22357,142.49387,107.813644,28.982534,99.487175,140.27893,1
204.0,0.0,25.89363,196.37796,154.88005,99.24977,234.96191,57.232903,155.27315,189.29941,103.20966,146.2758,114.96029,32.605453,105.902405,138.11736,1
204.0,0.0,17.336666,211.16273,151.58533,118.567696,229.82527,67.66588,161.8997,161.38103,81.484215,121.85392,75.54669,23.429373,79.46984,117.893326,1
204.0,0.0,90.72331,211.47581,154.37881,95.33982,230.8104,65.45522,155.53638,172.84044,86.196846,120.62417,87.382164,23.928879,84.419785,126.54013,1
187.0,0.0,108.05369,208.5334,160.16492,102.08016,230.15619,62.98176,153.3612,167.2051,82.24527,107.87817,76.55524,21.19539,78.483986,120.91981,1
204.0,0.0,36.61912,212.68546,144.46045,83.83822,233.30171,69.62658,160.96472,159.397,80.96085,121.4312,73.39661,22.169678,78.148155,116.91824,1
204.0,0.0,48.68059,210.57866,144.18248,80.05702,235.31836,69.767624,159.6304,159.35359,80.50446,121.09037,73.33221,21.032137,77.79386,117.39706,1
187.0,0.0,52.782196,211.68063,136.65091,61.990353,239.38072,72.11086,159.61957,188.26987,97.307625,138.31628,108.89328,32.145267,101.02021,134.75366,1
187.0,0.0,4.8083262,201.24538,135.35905,82.13012,235.02538,46.822517,155.594,193.85002,103.099464,143.76346,117.20998,30.864637,102.845604,141.23434,1
187.0,0.0,53.1097,204.54134,136.00952,87.38121,235.75034,61.836193,159.09329,195.14372,100.30891,149.29156,122.747185,32.821922,105.66241,141.31665,1
187.0,0.0,45.615784,208.50937,137.79987,95.259056,233.88254,66.09995,158.44342,193.50917,99.31507,147.07857,119.27347,32.356117,104.143425,140.25989,1
187.0,0.0,53.75872,211.14137,128.60745,58.4638,238.83072,60.186443,159.08794,193.01901,99.64089,146.48183,118.4686,32.810524,104.47269,139.17609,1
204.0,178.5182,40.94142,189.41905,118.019936,86.957634,228.85619,79.09224,117.86834,139.42699,84.67062,93.2198,62.693867,18.80571,74.32287,106.781654,1
204.0,129.27267,37.4,211.02855,157.30484,84.70702,233.4104,72.00194,128.78545,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,1
204.0,178.5182,40.94142,189.41905,118.019936,86.957634,228.85619,79.09224,117.86834,139.5879,84.74649,93.75253,62.819313,18.988462,74.46116,106.81575,1
187.0,231.50291,26.55485,198.05196,143.52138,101.30492,236.32101,96.35829,115.21179,141.10104,89.75252,99.86303,61.078934,24.81626,78.606606,111.39468,1
187.0,229.57082,21.770622,199.28294,150.6315,95.399704,237.97797,96.18456,114.848854,140.99529,89.533005,98.67666,60.882732,24.757507,78.36283,110.863846,1
204.0,138.03015,32.25523,211.66458,155.55057,73.90424,232.99153,76.85406,126.92403,144.71852,89.694405,103.707924,75.90576,18.21076,74.633766,112.50374,1
34.0,88.70189,4.8083262,193.97382,122.631714,120.330574,232.36296,56.21722,134.20258,152.11946,92.26377,114.21918,99.5857,19.82148,80.84128,127.11392,1
34.0,91.409584,45.361656,200.05338,121.65731,105.29629,231.57214,99.62103,120.214226,142.4462,83.74754,84.67133,73.35924,19.569256,71.57486,116.427765,1
238.0,154.8587,45.615784,202.2123,163.11673,124.02117,236.29938,66.08654,143.42955,145.51903,90.47336,109.59278,81.121414,25.72839,88.05828,119.7568,1
0.0,104.02,19.233305,203.04214,131.58246,99.1114,233.05132,70.99375,130.61353,149.65207,88.52748,103.42147,84.82151,18.508207,78.63942,122.21822,1
0.0,101.52075,17.0,203.23412,135.75513,98.004425,233.50574,71.76085,130.10376,149.78644,88.32175,104.12727,84.69487,18.573072,79.13327,122.29949,1
238.0,129.27267,37.4,211.02855,157.30484,84.70702,233.4104,70.91497,128.78545,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,1
238.0,128.33873,37.4,207.51216,157.30484,84.70702,237.13905,70.91497,128.22069,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,1
238.0,128.33873,37.4,207.51216,157.30484,84.70702,237.13905,70.91497,128.22069,146.4814,90.258194,104.45555,80.67641,16.605963,73.79568,115.20501,1
