SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,Sn,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Au 
61.13,11.83,7.4,0.11,3.03,3.63,2.13,1.26,1.24,0.1,292,21,13,104,8,17,89,25,71,233,32,322,22,210,28,68,2.099,2.419,2.596,38.86,73.74,8.927,37.93,7.622,1.658,6.732,1.228,6.893,1.236,4.107,0.58,3.814,0.558,9.792,2
64.87,12.18,7.06,0.09,2.44,3.17,2.01,1.75,0.96,0.13,405,18,12,95,9,21,63,23,99,161,53,722,24,143,43,69,1.977,2.109,3.278,51.96,103.5,12.27,50.79,10.66,2.004,9.789,1.848,10.99,2.123,6.905,1.055,7.108,1.172,24.47,1
61.92,11.02,7.64,0.1,3.8,4.17,1.51,1.9,1.05,0.21,402,17,12,109,10,21,93,23,95,184,54,607,24,371,43,89,1.938,2.211,3.082,51.35,97.92,11.81,48.61,10.67,2.213,9.719,1.963,11.14,2.122,6.954,1.029,6.881,1.008,19.04,1
63.72,11.34,7.46,0.1,3,4.02,1.88,1.55,1.04,0.15,326,18,13,110,7,22,70,23,85,193,52,741,25,157,36,78,1.976,2.055,2.803,42.23,79.12,9.864,42.71,9.212,2.084,8.923,1.773,10.52,2.086,6.912,1.048,6.966,1.193,24.28,0.5
59.55,13.22,7.33,0.1,3.52,3.33,1.56,2.43,0.99,0.17,352,20,15,108,10,18,52,20,118,171,54,560,30,120,35,78,2.4262,1.2024,4.6109,55.0092,102.9144,12.5634,51.1543,10.4771,2.3651,9.8031,1.943,12.0816,2.3647,7.4496,1.1906,7.8161,1.1454,19.7206,1
61.76,13.36,6.56,0.09,3.67,3.02,1.81,2.33,0.91,0.11,391,23,14,112,11,19,56,20,102,202,38,432,20,139,35,68,2.1994,1.2461,3.5141,49.347,94.7381,11.1937,45.5436,8.8831,1.9673,8.1515,1.4584,8.4708,1.6277,5.0068,0.7824,5.1049,0.7671,15.5139,1
64.53,13.24,6.25,0.09,3.36,2.54,1.63,2.36,0.86,0.09,381,21,12,105,8,18,58,20,100,176,32,305,16,160,28,75,1.9821,1.2794,3.0125,50.8417,94.4132,11.4531,46.2294,8.8626,1.7926,7.7272,1.3385,7.542,1.4472,4.5878,0.7083,4.5805,0.6881,9.8377,0.5
62.97,13.65,6.19,0.09,3.09,2.81,1.06,2.79,0.95,0.14,404,25,15,99,19,29,66,29,120,163,35,376,17,129,39,76,2.1596,1.6342,2.5495,68.0227,129.6054,15.3268,61.1633,12.7222,1.9104,9.434,1.6709,9.8579,1.9395,5.4597,0.9345,5.751,0.8508,20.446,1
67.5,10.57,5.57,0.1,2.35,3.44,1.2,2.01,0.94,0.14,469,14,10,63,13,25,39,14,100,187,36,396,17,100,20,69,2.113,2.017,3.369,64.28,120.5,13.95,56.42,10.64,1.873,9.37,1.601,8.458,1.571,4.995,0.697,4.696,0.762,15.34,1
63.76,11.57,4.96,0.08,2.67,4.55,1.49,2.32,0.84,0.15,457,22,12,60,15,28,35,16,108,233,34,400,14,87,23,69,2.247,1.723,3.173,55.96,104.6,11.92,47.89,9.24,1.647,7.627,1.262,6.509,1.161,3.666,0.531,3.537,0.65,14.08,1
