Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Hf 
292,21,13,104,8,17,89,25,71,233,32,322,22,210,28,68,2.099,2.419,38.86,73.74,8.927,37.93,7.622,1.658,6.732,1.228,6.893,1.236,4.107,0.58,3.814,0.558,9.792,9.792
405,18,12,95,9,21,63,23,99,161,53,722,24,143,43,69,1.977,2.109,51.96,103.5,12.27,50.79,10.66,2.004,9.789,1.848,10.99,2.123,6.905,1.055,7.108,1.172,24.47,24.47
402,17,12,109,10,21,93,23,95,184,54,607,24,371,43,89,1.938,2.211,51.35,97.92,11.81,48.61,10.67,2.213,9.719,1.963,11.14,2.122,6.954,1.029,6.881,1.008,19.04,19.04
326,18,13,110,7,22,70,23,85,193,52,741,25,157,36,78,1.976,2.055,42.23,79.12,9.864,42.71,9.212,2.084,8.923,1.773,10.52,2.086,6.912,1.048,6.966,1.193,24.28,24.28
352,20,15,108,10,18,52,20,118,171,54,560,30,120,35,78,2.4262,1.2024,55.0092,102.9144,12.5634,51.1543,10.4771,2.3651,9.8031,1.943,12.0816,2.3647,7.4496,1.1906,7.8161,1.1454,19.7206,19.7206
391,23,14,112,11,19,56,20,102,202,38,432,20,139,35,68,2.1994,1.2461,49.347,94.7381,11.1937,45.5436,8.8831,1.9673,8.1515,1.4584,8.4708,1.6277,5.0068,0.7824,5.1049,0.7671,15.5139,15.5139
381,21,12,105,8,18,58,20,100,176,32,305,16,160,28,75,1.9821,1.2794,50.8417,94.4132,11.4531,46.2294,8.8626,1.7926,7.7272,1.3385,7.542,1.4472,4.5878,0.7083,4.5805,0.6881,9.8377,9.8377
404,25,15,99,19,29,66,29,120,163,35,376,17,129,39,76,2.1596,1.6342,68.0227,129.6054,15.3268,61.1633,12.7222,1.9104,9.434,1.6709,9.8579,1.9395,5.4597,0.9345,5.751,0.8508,20.446,20.446
469,14,10,63,13,25,39,14,100,187,36,396,17,100,20,69,2.113,2.017,64.28,120.5,13.95,56.42,10.64,1.873,9.37,1.601,8.458,1.571,4.995,0.697,4.696,0.762,15.34,15.34
457,22,12,60,15,28,35,16,108,233,34,400,14,87,23,69,2.247,1.723,55.96,104.6,11.92,47.89,9.24,1.647,7.627,1.262,6.509,1.161,3.666,0.531,3.537,0.65,14.08,14.08
425,21,12,68,13,27,39,17,123,147,33,290,13,97,28,67,2.23,1.753,55.05,102.1,11.72,46.52,8.438,1.436,7.261,1.243,6.318,1.104,3.658,0.526,3.279,0.471,8.246,8.246
627,20,11,73,10,28,36,19,130,153,29,357,14,105,35,66,2.342,2.014,46.14,86.32,9.806,39.19,7.353,1.418,6.516,1.123,6.205,1.166,3.907,0.563,3.719,0.549,9.961,9.961
409,22,12,83,6,30,46,14,142,142,29,344,14,120,38,71,2.722,2.043,44.46,84.88,9.455,37.81,7.304,1.452,6.079,1.082,5.823,1.178,3.705,0.559,3.52,0.558,10.69,10.69
252,23,15,99,13,28,63,25,82,212,46,459,24,137,34,73,2.307,2.009,61.61,116.3,13.37,54.47,10.64,2.02,9.495,1.82,10.08,1.925,6.339,0.975,6.613,0.907,15.45,15.45
320,23,13,91,9,21,62,17,112,192,38,421,21,157,32,68,2.242,2.099,52.35,97.75,11.54,47.56,9.342,1.633,8.015,1.42,7.572,1.45,4.629,0.67,4.482,0.795,15.89,15.89
393,18,12,100,11,27,131,27,91,171,28,336,16,504,46,82,1.54,2.084,37.46,71.2,8.049,31.57,6.525,1.344,5.626,1.05,5.791,1.124,3.65,0.565,3.626,0.588,10.97,10.97
346,18,13,107,9,20,107,23,89,181,51,603,26,336,41,82,1.745,2.185,45.86,85.97,10.67,44.98,9.74,2.271,9.123,1.83,10.78,2.13,6.652,1.023,6.818,1.08,21.74,21.74
303,26,13,101,9,22,53,18,116,188,34,398,17,133,35,74,2.1415,1.1297,41.557,77.7143,9.0742,36.7211,7.258,1.6942,6.6723,1.2565,7.4426,1.4769,4.6475,0.7562,5.0308,0.7681,13.0507,13.0507
336,26,14,100,10,19,60,22,88,196,50,406,24,159,21,63,2.2429,1.231,39.018,76.2368,9.5292,41.2897,9.074,2.3427,8.6149,1.7023,10.4245,2.0681,6.4342,1.0325,6.8123,1.0146,14.6255,14.6255
332,30,16,101,10,21,57,22,96,221,38,357,19,161,28,82,2.316,1.5405,53.4624,100.2606,11.8793,48.1884,9.2231,2.0243,8.3932,1.4623,8.2626,1.542,4.7453,0.7385,4.7603,0.7364,13.7327,13.7327
302,19,13,99,19,31,46,16,131,150,35,322,15,122,30,80,3.3407,2.0341,48.7603,80.7183,10.5928,41.2689,7.6152,1.4254,6.4399,1.1034,5.7796,1.0882,3.3366,0.4957,3.3676,0.4926,9.1798,9.1798
473,15,10,82,12,25,42,14,112,138,33,346,15,114,28,75,1.878,1.916,51.22,97.48,11.22,44.96,8.527,1.592,7.516,1.297,6.759,1.269,4.025,0.611,3.953,0.586,10.84,10.84
344,28,12,89,19,25,39,17,108,187,41,401,19,103,25,74,3.0999,1.9844,56.594,83.2612,12.3729,48.2665,9.1294,1.663,7.7315,1.342,7.1599,1.3299,4.0993,0.6228,4.0179,0.5936,10.8975,10.8975
413,16,10,71,15,24,40,15,105,206,30,344,15,98,27,72,1.988,1.826,46.61,87.75,10.34,40.84,7.744,1.49,6.511,1.201,6.4,1.19,3.785,0.54,3.677,0.552,10.79,10.79
409,16,12,68,16,26,31,14,102,194,36,443,14,104,25,71,2.309,1.961,55.21,104.1,12.11,48.39,8.853,1.651,7.716,1.343,7.378,1.46,4.679,0.692,4.712,0.763,15.58,15.58
449,14,12,67,10,30,34,14,113,166,33,331,13,88,22,61,2.583,2.089,45.59,86.28,10.16,40.45,7.689,1.521,6.597,1.177,6.141,1.195,3.738,0.589,3.936,0.651,13.02,13.02
479,18,11,83,27,19,41,15,140,215,39,468,20,100,33,77,2.668,2.177,83.84,158.1,18.71,70.3,11.1,1.808,9.688,1.584,8.243,1.542,4.929,0.726,4.825,0.779,15.57,15.57
468,24,14,93,11,22,55,22,108,205,29,304,15,118,50,91,1.766,2.04,44.29,80.82,9.473,37.04,6.91,1.527,6.439,1.166,6.34,1.234,3.872,0.582,3.916,0.565,10.4,10.4
324,22,12,107,12,26,57,23,109,162,34,354,15,131,41,88,1.708,2.105,45.63,85.5,9.987,39.04,7.678,1.722,6.919,1.288,7.196,1.424,4.374,0.673,4.563,0.692,13.29,13.29
318,21,13,113,11,25,72,21,116,205,38,437,22,156,52,87,2.58,1.32,56.18,100.52,12.35,49.12,9.57,2.21,8.46,1.52,8.7,1.65,5.13,0.79,5.23,0.77,16.32,16.32
340,29,13,104,21,20,71,15,147,159,56,540,31,154,25,59,3.07,1.41,57.12,108.62,13.51,54.81,11.75,2.12,10.74,2.05,12.61,2.33,7.19,1.1,7.35,1.08,21.72,21.72
315,23,16,110,9,15,84,26,86,180,51,402,25,197,41,88,1.9967,1.3657,65.4643,116.6227,14.4822,57.757,11.5618,2.3897,9.4107,1.7987,10.1309,1.9442,5.6123,0.883,5.6277,0.8765,15.3841,15.3841
347,22,15,97,13,22,55,19,133,153,38,284,16,143,37,88,2.9274,1.8602,62.2046,118.1789,13.4916,53.864,9.9266,1.9592,8.814,1.5172,8.5838,1.6025,4.9423,0.7499,4.6854,0.6931,8.5497,8.5497
330,26,12,92,17,28,42,20,107,174,33,357,18,103,33,69,2.9535,1.772,44.7605,77.209,9.6636,38.0642,7.1095,1.3593,6.1382,1.0553,5.6021,1.0316,3.1163,0.46,3.0664,0.4416,9.984,9.984
382,21,16,94,12,19,46,16,114,208,36,344,17,105,25,73,2.2728,1.4326,59.7611,114.2287,12.8054,51.3979,9.3307,1.8495,8.4188,1.4757,8.4104,1.597,4.9025,0.7342,4.7693,0.692,10.5229,10.5229
394,20,13,91,13,21,39,17,97,164,36,391,16,121,18,60,2.3484,1.4682,57.9264,106.8984,12.6495,51.2071,9.3605,1.8571,8.2543,1.4123,7.9957,1.4992,4.6547,0.7022,4.3987,0.6687,16.4895,16.4895
368,23,13,87,14,24,40,19,105,173,41,393,17,113,19,65,2.4307,1.5775,49.642,96.6341,11.1015,44.5632,8.4871,1.5977,7.4686,1.3253,7.1729,1.3229,4.1388,0.6232,4.2179,0.6189,12.196,12.196
407,18,10,65,11,23,41,15,96,190,28,337,14,91,24,68,2.144,1.856,46.07,87.88,10.21,41.81,7.472,1.349,6.383,1.135,6.023,1.16,3.597,0.547,3.433,0.539,10.11,10.11
366,19,13,74,12,26,36,12,104,171,43,471,19,96,25,73,2.155,2.086,64.41,123.6,14.36,58.32,11.03,1.947,9.703,1.688,9.35,1.778,5.601,0.857,5.493,0.855,15.26,15.26
410,21,14,115,10,23,78,24,80,150,60,455,29,163,56,79,2.318,2.436,49.46,96.02,11.79,49.35,10.6,2.589,10.37,2.126,12.55,2.542,8.095,1.261,8.234,0.988,14.76,14.76
354,21,13,88,13,26,65,22,133,173,43,441,20,146,40,77,2.301,2.176,55.62,105,12.32,48.77,9.848,1.737,8.234,1.535,8.553,1.645,5.111,0.793,5.222,0.815,15.68,15.68
291,21,15,130,13,20,97,19,90,147,63,631,31,227,48,75,2,1.14,40.82,75.03,9.65,40.4,9.06,2.11,8.61,1.81,11.31,2.26,6.94,1.11,7.29,1.13,23.07,23.07
306,16,16,109,12,17,159,23,75,169,50,387,24,343,45,77,1.72,1.15,40.89,73.72,9.04,37.34,7.93,1.93,7.63,1.61,10,2.07,6.62,1.03,6.71,1.02,13.07,13.07
291,24,17,121,6,20,106,25,65,178,50,435,25,240,37,98,1.4889,1.308,50.8352,98.7719,11.953,49.2824,10.8211,2.6285,9.171,1.9844,11.6597,2.2217,7.1394,1.0777,6.8299,0.9423,14.3926,14.3926
305,25,20,142,14,24,68,33,96,125,36,237,13,155,58,78,2.0055,1.707,66.3061,122.6624,13.9549,55.5413,10.761,2.0024,8.9957,1.633,8.7028,1.6032,4.9228,0.7428,4.3796,0.6193,7.9458,7.9458
333,14,14,79,16,25,43,13,88,138,32,259,12,83,31,76,1.69,1.22,35.69,65.55,7.76,31.13,6.18,1.29,5.36,0.99,5.58,1.02,3.12,0.47,3.12,0.47,10.16,10.16
346,27,14,100,18,37,50,17,106,206,36,334,16,125,41,94,3.0862,1.5227,37.8181,69.6229,8.1723,31.9409,6.2229,1.2382,5.5211,1.0454,6.0084,1.1904,3.6133,0.5293,3.3557,0.4796,8.632,8.632
326,28,15,104,14,30,62,22,112,194,33,295,17,151,46,89,2.9615,1.5298,39.8873,74.7743,8.7512,34.377,6.4506,1.2223,5.5239,0.9558,4.898,0.9366,2.7738,0.4124,2.7761,0.4169,8.4229,8.4229
319,27,14,98,12,26,54,19,85,247,33,319,15,142,27,66,2.4311,1.3351,46.8466,79.2439,10.527,42.1784,8.1171,1.6899,6.9762,1.2361,6.7132,1.1958,3.5591,0.53,3.5551,0.5311,9.9215,9.9215
350,23,13,99,10,18,57,20,119,249,31,306,16,146,32,75,2.5486,1.3484,31.8855,60.671,7.146,28.7291,5.6351,1.1407,5.0269,0.8911,4.9873,0.9367,2.9064,0.4485,3.0474,0.4479,9.1127,9.1127
