BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif,Label
255.0,0.0,115.79983,207.41356,137.45181,119.48212,236.36066,0.0,241.33928,33.138756,85.76611,126.08657,91.56245,33.148438,50.045795,117.47412,40.989017,1
255.0,0.0,108.42748,192.04356,104.64001,115.45003,234.36063,232.8261,250.44643,36.603897,93.31912,136.89607,106.62456,44.24105,48.395298,113.364784,40.186855,1
255.0,214.39723,185.51042,204.10042,146.9256,98.44224,234.75897,184.44664,255.0,22.991154,89.95384,112.036964,96.521675,27.966648,41.82508,121.889145,44.42539,1
255.0,222.1868,176.83269,202.59415,146.55128,88.529594,234.96625,176.3834,255.0,21.618095,90.65427,113.9578,98.49882,27.845972,41.217197,121.28639,45.89658,1
255.0,252.03754,130.18048,206.6465,127.66213,99.104996,235.84218,204.60475,227.67857,25.92265,94.23177,138.8275,108.53545,32.284046,37.38371,117.37528,41.06563,1
255.0,227.0073,156.8797,204.86227,130.4797,102.962616,235.16763,255.0,241.33928,45.000904,98.23661,129.9074,105.211914,39.643707,37.278446,107.55594,39.478783,1
187.0,0.0,138.735,204.49065,143.7936,100.84311,233.25583,224.76285,236.78572,30.06257,99.716354,136.99611,107.48854,35.587616,34.822758,110.50832,46.71678,1
238.0,0.0,162.70341,205.57812,133.92542,78.45221,237.5386,176.3834,241.33928,31.33579,96.07112,140.10568,103.749535,34.834034,35.850372,117.28452,42.42758,1
187.0,0.0,168.8058,204.56075,144.56332,74.27186,237.82413,196.5415,241.33928,30.25432,95.964966,140.65878,105.323906,34.424488,35.95078,117.20087,43.625187,1
187.0,0.0,168.8058,204.24532,144.56332,74.27186,238.61829,196.5415,241.33928,30.25432,95.964966,140.65878,105.323906,34.424488,35.95078,117.20087,43.625187,1
